City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
456,ahar,IR,74.12,38.48,47.07,هتل رضوی
459,iwanai,JP,65.75,42.97,140.51,いわない高原ホテル
460,timon,BR,77.0,-5.09,-42.84,Metropolitan Hotel‎
461,faya,SA,78.8,18.39,42.45,مقبرة ال مجمل
463,leninskoye,RU,68.07,47.94,132.62,Gostinitsa Leninskoye
464,tabou,CI,76.32,4.42,-7.35,hotêl doufoulougou
465,labuhan,ID,86.23,-6.88,112.21,bador sepret
466,luanda,AO,73.4,-8.84,13.23,EPIC SANA Luanda
468,chernyshevskiy,RU,76.93,63.01,112.47,Chernyseyskiy
470,boende,CD,72.16,-0.22,20.87,
471,khani,GE,71.6,41.96,42.96,კურორტი ზეკარი/Resort Zekari
472,kloulklubed,PW,87.8,7.04,134.26,Storyboard Beach Resort
474,mogadishu,SO,82.4,2.04,45.34,Hotel Juba
475,jardim,BR,67.98,-21.48,-56.14,Hotel Estância
477,nantucket,US,64.0,41.28,-70.1,Jared Coffin House
480,buckeye,US,87.01,33.37,-112.58,Buckeye Motor Hotel
481,vila velha,BR,69.8,-20.33,-40.29,Hotel Vitória Palace
484,olenino,RU,74.41,56.21,33.49,Kolos
485,argenta,IT,66.99,44.61,11.84,B&B La Salghè
486,lokhvytsya,UA,71.4,50.37,33.26,Ukraine
487,olimpia,BR,64.4,-20.74,-48.91,Hotel Savana
488,vanavara,RU,76.35,60.34,102.28,Church of Churches
489,morant bay,JM,82.4,17.88,-76.41,Whispering Bamboo Cove Resort
490,capanema,BR,71.64,-1.2,-47.18,Hotel Legal
493,muisne,EC,76.14,0.6,-80.03,Quinta Samay
494,cobija,BO,71.2,-11.03,-68.77,Hotel Obelisco
495,camocim,BR,74.75,-2.9,-40.84,Hotel Ilha do Amor
498,sierra madre,US,64.0,34.16,-118.05,Hilton Garden Inn Arcadia/Pasadena Area
499,itupiranga,BR,73.4,-5.13,-49.33,JAIRO ORLINDO VIEIRA
503,russell,US,75.2,32.35,-85.2,Macs
505,almaznyy,RU,75.2,48.04,40.05,
506,shivrajpur,IN,91.4,22.42,73.65,श्री काला जी पालर
507,zempoala,MX,82.0,19.45,-96.42,Panteon cempuala
508,qui nhon,VN,87.89,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
509,brokopondo,SR,76.6,4.75,-55.17,Matu Island
511,ballina,AU,66.2,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
512,gazanjyk,TM,98.33,39.24,55.52,Railway motel
513,broken hill,AU,60.8,-31.95,141.43,Daydream Motel & Cottages
515,wonthaggi,AU,61.0,-38.6,145.59,Wonthaggi Caravans & Trailers
516,chaoyang,CN,96.31,41.57,120.46,Chaoyang Genting International Hotel
518,puro,PH,88.86,12.48,123.38,
519,yaring,TH,89.6,6.87,101.37,My Home Pokku
520,lithgow,AU,68.0,-33.48,150.15,Zig Zag Motel
522,french harbor,HN,83.61,16.35,-86.43,"Fantasy Island Beach Resort, Dive & Marina"
523,missoula,US,60.8,47.02,-113.8,Gold Creek Cabin
524,bakchar,RU,62.28,57.02,82.07,
526,uinskoye,RU,64.53,56.88,56.58,
529,derzhavinsk,KZ,60.96,51.1,66.32,Ooo.khim Baza
531,umm bab,QA,100.99,25.21,50.81,
532,laguna,US,68.0,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
536,mbalmayo,CM,69.8,3.52,11.5,Hôtel les Nouveaux Jardins Des Tropiques
537,bone,DE,63.0,51.97,12.14,Sporthotel Wallwitz
538,zalantun,CN,61.9,48.0,122.72,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
539,lata,PT,61.0,40.16,-8.33,Casa Maquia
