City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Shubarkuduk,KZ,2020-06-15 00:37:58,49.14,56.49,54.45,61,0,14.72
234,Antsohihy,MG,2020-06-15 00:37:58,-14.88,47.99,72.97,54,93,10.27
235,Arman,RU,2020-06-15 00:37:58,59.7,150.17,60.24,50,0,5.59
236,Sao Joao Da Barra,BR,2020-06-15 00:37:58,-21.64,-41.05,71.76,89,14,16.84
237,Pisco,PE,2020-06-15 00:37:59,-13.7,-76.22,66.2,77,90,5.82
238,Ntungamo,UG,2020-06-15 00:37:59,-0.88,29.65,63.99,89,97,2.24
239,Touros,BR,2020-06-15 00:33:18,-5.2,-35.46,75.2,94,20,3.36
240,Cockburn Town,TC,2020-06-15 00:37:59,21.46,-71.14,84.2,74,40,9.17
241,Axim,GH,2020-06-15 00:37:59,4.87,-2.24,77.72,89,95,7.81
242,Venado Tuerto,AR,2020-06-15 00:38:00,-33.75,-61.97,42.01,60,87,4.0
243,Broken Hill,AU,2020-06-15 00:38:00,-31.95,141.43,55.4,54,0,13.87
244,Codrington,AU,2020-06-15 00:35:35,-38.27,141.97,58.32,80,53,18.05
245,Kasempa,ZM,2020-06-15 00:38:00,-13.46,25.83,49.1,93,0,5.1
246,Klaksvik,FO,2020-06-15 00:38:01,62.23,-6.59,48.2,93,7,2.24
247,Chalus,IR,2020-06-15 00:38:01,36.66,51.42,73.4,78,0,4.7
248,Perivolion,GR,2020-06-15 00:38:01,39.42,20.01,68.0,77,0,3.6
249,Mahebourg,MU,2020-06-15 00:34:55,-20.41,57.7,71.6,73,20,8.05
250,Nhulunbuy,AU,2020-06-15 00:38:02,-12.23,136.77,84.2,66,20,17.22
251,Beloha,MG,2020-06-15 00:38:02,-25.17,45.05,59.0,95,0,6.76
252,Cangucu,BR,2020-06-15 00:38:02,-31.39,-52.68,37.99,95,0,3.8
253,Rovinj,HR,2020-06-15 00:38:02,45.08,13.64,64.0,87,100,2.24
254,Cairns,AU,2020-06-15 00:38:02,-16.92,145.77,78.8,83,75,12.75
255,Walvis Bay,NA,2020-06-15 00:38:03,-22.96,14.51,68.0,16,0,14.99
256,Khartoum,SD,2020-06-15 00:35:08,15.55,32.53,86.0,40,100,19.46
257,Puerto Narino,CO,2020-06-15 00:38:03,-3.77,-70.38,80.6,100,75,2.24
258,Mbanza-Ngungu,CD,2020-06-15 00:38:03,-5.25,14.87,65.62,98,0,3.18
259,Kwinana,AU,2020-06-15 00:38:03,-32.25,115.77,60.01,93,90,5.82
260,Zabaykalsk,RU,2020-06-15 00:38:04,49.63,117.32,71.26,32,100,7.72
261,San Quintin,MX,2020-06-15 00:34:20,30.48,-115.95,67.57,70,0,14.29
262,Kavieng,PG,2020-06-15 00:38:04,-2.57,150.8,84.56,73,100,9.95
263,Marawi,PH,2020-06-15 00:38:04,8.0,124.29,82.99,81,44,5.01
264,Mehamn,NO,2020-06-15 00:38:05,71.04,27.85,44.73,77,94,30.0
265,Ust-Nera,RU,2020-06-15 00:35:40,64.57,143.2,69.57,35,92,3.8
266,Matadi,CD,2020-06-15 00:38:05,-5.82,13.45,69.93,86,0,1.99
267,Abu Dhabi,AE,2020-06-15 00:38:05,24.47,54.37,88.0,79,0,2.24
268,Behshahr,IR,2020-06-15 00:38:05,36.69,53.55,73.4,88,0,4.7
269,Ginir,ET,2020-06-15 00:38:06,7.13,40.7,58.35,92,100,7.7
270,Bandarbeyla,SO,2020-06-15 00:38:06,9.49,50.81,81.14,64,98,25.08
271,Springdale,US,2020-06-15 00:35:28,36.19,-94.13,87.8,58,40,9.17
272,Sangin,AF,2020-06-15 00:38:06,32.07,64.84,78.53,15,0,10.85
273,Najran,SA,2020-06-15 00:38:06,17.49,44.13,77.0,23,0,1.86
274,Port Hardy,CA,2020-06-15 00:34:51,50.7,-127.42,59.0,62,75,6.93
275,Ahipara,NZ,2020-06-15 00:38:07,-35.17,173.17,61.52,64,90,10.09
276,Tolaga Bay,NZ,2020-06-15 00:35:01,-38.37,178.3,55.33,52,0,7.78
